param n := 400;
param r := 399
param c := 
3 0 73
3 2 102
5 0 171
5 3 35
5 4 197
6 0 37
6 2 197
11 0 178
11 6 162
11 2 16
11 4 26
11 9 19
11 7 173
14 0 48
14 3 27
14 11 120
14 1 17
14 2 44
14 8 200
14 12 46
14 13 76
14 10 97
16 0 78
16 3 83
16 11 143
16 1 100
16 8 14
16 12 32
16 7 176
17 0 27
17 3 58
17 11 189
17 14 70
17 16 149
17 1 196
17 2 140
17 8 147
17 12 164
17 15 23
19 0 119
19 3 96
19 5 13
19 6 192
19 1 131
19 9 115
19 12 173
19 13 92
19 18 16
20 0 189
20 11 114
20 16 26
20 19 115
20 8 192
20 18 92
20 7 110
21 0 33
21 3 20
21 6 85
21 17 192
21 1 113
21 2 44
21 12 77
21 7 164
21 10 138
22 0 124
22 3 183
22 5 129
22 11 84
22 16 124
22 19 69
22 20 150
22 1 63
22 2 181
22 8 128
22 15 53
22 7 29
22 10 17
23 0 60
23 3 50
23 5 188
23 14 176
23 16 140
23 17 106
23 9 12
23 12 195
23 13 95
23 18 165
23 7 151
25 0 171
25 6 149
25 14 32
25 19 193
25 20 181
25 21 122
25 22 28
25 23 69
25 12 59
25 15 134
25 24 14
25 7 176
25 10 117
26 0 197
26 6 42
26 11 116
26 16 98
26 17 81
26 19 105
26 21 107
26 23 185
26 25 181
26 4 76
26 8 189
26 15 177
26 24 68
28 0 75
28 17 185
28 20 27
28 21 181
28 22 111
28 26 56
28 1 84
28 2 18
28 9 169
28 12 165
28 13 56
28 15 108
28 24 24
28 10 106
29 0 159
29 3 77
29 5 92
29 6 18
29 22 11
29 25 64
29 28 76
29 4 126
29 13 46
29 24 144
29 27 11
29 10 96
32 0 168
32 5 79
32 14 166
32 16 104
32 19 23
32 20 34
32 21 165
32 28 18
32 29 46
32 2 56
32 4 47
32 13 11
32 18 131
35 0 77
35 5 99
35 11 15
35 14 61
35 17 75
35 19 46
35 20 79
35 21 125
35 22 175
35 23 138
35 26 87
35 29 182
35 2 77
35 4 68
35 8 146
35 9 116
35 12 129
35 13 21
35 10 14
35 31 94
37 0 31
37 6 105
37 16 98
37 19 148
37 21 68
37 25 146
37 26 198
37 35 83
37 2 113
37 4 194
37 8 36
37 9 97
37 13 181
37 18 187
37 33 42
37 36 100
37 10 89
37 30 53
37 31 135
41 0 113
41 3 33
41 5 38
41 6 120
41 16 199
41 22 48
41 23 20
41 25 174
41 28 97
41 29 28
41 32 16
41 35 27
41 1 146
41 8 62
41 9 95
41 13 188
41 15 101
41 24 44
41 27 153
41 33 52
41 38 17
41 10 152
41 34 30
41 31 81
45 0 102
45 3 33
45 5 180
45 6 172
45 11 165
45 17 177
45 19 142
45 20 63
45 22 50
45 26 122
45 28 96
45 32 83
45 35 90
45 1 81
45 2 152
45 8 22
45 27 16
45 33 22
45 36 92
45 42 100
45 44 187
45 43 184
45 34 181
48 0 111
48 3 89
48 5 22
48 11 17
48 14 57
48 16 96
48 21 177
48 22 135
48 25 100
48 28 41
48 32 29
48 35 30
48 41 46
48 9 71
48 12 59
48 13 133
48 15 138
48 36 58
48 38 176
48 42 191
48 47 124
48 40 150
48 43 134
48 30 198
48 34 24
49 0 52
49 5 181
49 6 93
49 11 138
49 14 57
49 25 147
49 32 195
49 35 166
49 41 28
49 45 175
49 48 30
49 24 81
49 33 107
49 38 95
49 42 78
49 47 80
49 43 81
53 0 167
53 11 161
53 14 58
53 17 174
53 20 67
53 21 110
53 22 129
53 25 174
53 28 18
53 35 46
53 45 61
53 49 39
53 1 83
53 2 112
53 8 156
53 9 73
53 12 91
53 13 200
53 18 82
53 24 190
53 39 26
53 52 98
53 7 142
53 50 23
53 51 12
53 30 94
58 0 162
58 5 61
58 11 150
58 16 198
58 17 10
58 20 148
58 22 96
58 23 132
58 25 151
58 28 32
58 32 111
58 35 77
58 45 118
58 49 193
58 1 83
58 8 179
58 9 75
58 12 153
58 18 160
58 36 196
58 39 40
58 42 197
58 47 126
58 56 23
58 7 54
58 40 186
58 43 124
58 50 138
58 51 20
58 30 14
58 34 101
58 57 10
58 31 113
61 0 74
61 6 116
61 11 34
61 14 170
61 16 116
61 20 91
61 21 133
61 22 10
61 23 67
61 26 139
61 28 101
61 29 79
61 35 167
61 37 92
61 41 154
61 45 43
61 48 25
61 53 104
61 8 94
61 18 192
61 33 120
61 36 26
61 38 81
61 39 193
61 42 115
61 52 45
61 59 107
61 60 16
61 7 37
61 43 39
61 50 189
61 54 127
61 10 182
61 34 168
61 46 52
61 57 43
62 0 27
62 16 104
62 19 185
62 21 182
62 22 39
62 23 90
62 28 95
62 41 198
62 45 168
62 61 50
62 1 11
62 2 148
62 8 154
62 9 142
62 12 58
62 13 184
62 15 192
62 24 105
62 27 72
62 33 60
62 36 27
62 38 81
62 39 172
62 47 140
62 55 34
62 56 188
62 60 24
62 40 100
62 50 10
62 30 79
62 34 180
62 31 148
63 0 157
63 5 114
63 6 179
63 11 124
63 14 158
63 17 163
63 25 106
63 26 45
63 29 89
63 32 42
63 37 97
63 41 53
63 45 165
63 49 188
63 61 75
63 62 182
63 1 55
63 8 116
63 18 172
63 27 121
63 38 167
63 39 50
63 55 66
63 56 106
63 59 64
63 54 173
63 10 47
63 57 151
64 0 134
64 3 24
64 5 129
64 16 182
64 19 34
64 21 129
64 28 15
64 41 114
64 45 97
64 48 91
64 49 133
64 61 58
64 1 85
64 2 194
64 12 120
64 15 74
64 27 145
64 33 173
64 47 54
64 55 175
64 40 166
64 43 153
64 50 62
64 54 30
64 10 14
64 34 177
64 57 32
65 0 60
65 3 172
65 5 74
65 6 18
65 11 28
65 14 59
65 20 129
65 21 167
65 23 77
